,Date,Sentiment,Open,Close,NextDayClose,Volume,MarketCap,NextDayChange,Change
382,23-Aug-16,0.554913295,11.14,11.03,11.04,"6,489,380","927,065,000",0.01,Increase
383,24-Aug-16,1.618644068,11.02,11.04,11.36,"4,423,420","918,039,000",0.32,Increase
384,25-Aug-16,0.586021505,11.03,11.36,11.3,"8,552,380","918,977,000",-0.06,Decrease
385,26-Aug-16,0.8,11.35,11.3,11.15,"5,857,850","946,092,000",-0.15,Decrease
386,27-Aug-16,0.321888412,11.29,11.15,10.93,"15,108,400","941,585,000",-0.22,Decrease
387,28-Aug-16,0.592857143,11.15,10.93,10.98,"5,303,040","929,690,000",0.05,Increase
388,29-Aug-16,0.422222222,10.92,10.98,11.23,"8,130,540","910,698,000",0.25,Increase
389,30-Aug-16,0.204081633,10.99,11.23,11.67,"7,221,260","917,474,000",0.44,Increase
390,31-Aug-16,-0.027173913,11.24,11.67,11.99,"11,073,700","938,406,000",0.32,Increase
391,1-Sep-16,-0.074766355,11.67,11.99,12.11,"24,051,500","974,844,000",0.12,Increase
392,2-Sep-16,0.193333333,11.96,12.11,11.76,"9,368,300","999,757,000",-0.35,Decrease
393,3-Sep-16,0.409638554,12.11,11.76,11.68,"13,358,800","1,012,580,000",-0.08,Decrease
394,4-Sep-16,-0.009615385,11.75,11.68,11.72,"7,220,550","982,952,000",0.04,Increase
395,5-Sep-16,0.304635762,11.68,11.72,11.69,"5,724,100","977,169,000",-0.03,Decrease
396,6-Sep-16,0.079646018,11.73,11.69,11.55,"6,346,330","981,303,000",-0.14,Decrease
397,7-Sep-16,0.6133829,11.69,11.55,11.35,"6,115,050","979,087,000",-0.2,Decrease
398,8-Sep-16,0.50877193,11.55,11.35,11.65,"11,535,000","967,010,000",0.3,Increase
399,9-Sep-16,0.256410256,11.41,11.65,12.17,"6,109,200","956,210,000",0.52,Increase
400,10-Sep-16,0.285714286,11.66,12.17,11.64,"7,220,300","977,515,000",-0.53,Decrease
401,11-Sep-16,0.302631579,12.21,11.64,11.89,"8,791,180","1,023,640,000",0.25,Increase
402,12-Sep-16,0.222689076,11.64,11.89,11.92,"7,478,080","976,645,000",0.03,Increase
403,13-Sep-16,-0.48,11.89,11.92,11.92,"11,704,300","997,638,000",0,Same
404,14-Sep-16,0.705394191,11.9,11.92,11.94,"5,694,820","999,352,000",0.02,Increase
405,15-Sep-16,0.58677686,11.94,11.94,12.56,"7,309,090","1,002,970,000",0.62,Increase
406,16-Sep-16,0.53164557,11.96,12.56,12.7,"17,421,500","1,004,740,000",0.14,Increase
407,17-Sep-16,0.057803468,12.56,12.7,12.43,"7,446,610","1,055,440,000",-0.27,Decrease
408,18-Sep-16,0.232432432,12.69,12.43,13.19,"22,433,300","1,066,620,000",0.76,Increase
409,19-Sep-16,-0.030172414,12.44,13.19,14.43,"13,838,800","1,045,870,000",1.24,Increase
410,20-Sep-16,0.509803922,13.21,14.43,13.77,"31,929,100","1,111,810,000",-0.66,Decrease
411,21-Sep-16,0.224489796,14.43,13.77,13.25,"28,645,000","1,214,950,000",-0.52,Decrease
412,22-Sep-16,-0.309859155,13.66,13.25,13.33,"27,382,800","1,150,650,000",0.08,Increase
413,23-Sep-16,0.240310078,13.21,13.33,12.88,"9,166,430","1,112,590,000",-0.45,Decrease
414,24-Sep-16,0.465408805,13.32,12.88,13.1,"9,824,880","1,122,670,000",0.22,Increase
415,25-Sep-16,0.696132597,12.85,13.1,12.82,"5,283,440","1,083,510,000",-0.28,Decrease
416,26-Sep-16,0.611111111,13.17,12.82,13.1,"7,213,070","1,110,700,000",0.28,Increase
417,27-Sep-16,0.146341463,12.86,13.1,13.27,"6,831,070","1,085,330,000",0.17,Increase
418,28-Sep-16,0.031914894,13.11,13.27,13.07,"10,239,000","1,106,330,000",-0.2,Decrease
419,29-Sep-16,1.271551724,13.28,13.07,13.22,"5,990,630","1,121,060,000",0.15,Increase
420,30-Sep-16,-0.040358744,13.08,13.22,13.17,"5,950,840","1,104,530,000",-0.05,Decrease
421,1-Oct-16,0.327956989,13.2,13.17,13.2,"6,331,160","1,115,690,000",0.03,Increase
422,2-Oct-16,0.610859729,13.18,13.2,13.45,"4,079,660","1,114,200,000",0.25,Increase
423,3-Oct-16,0.624242424,13.2,13.45,13.28,"7,458,320","1,116,600,000",-0.17,Decrease
424,4-Oct-16,1.034334764,13.45,13.28,13.04,"8,348,280","1,137,980,000",-0.24,Decrease
425,5-Oct-16,0.384615385,13.28,13.04,12.85,"9,881,370","1,124,270,000",-0.19,Decrease
426,6-Oct-16,0.4875,13.03,12.85,12.67,"12,044,800","1,102,940,000",-0.18,Decrease
427,7-Oct-16,0.079365079,12.85,12.67,12.22,"8,933,050","1,088,570,000",-0.45,Decrease
428,8-Oct-16,0.136363636,12.67,12.22,12.05,"11,611,200","1,073,990,000",-0.17,Decrease
429,9-Oct-16,0.43877551,12.22,12.05,11.76,"7,208,480","1,035,590,000",-0.29,Decrease
430,10-Oct-16,0.197969543,12.06,11.76,11.79,"10,809,200","1,022,860,000",0.03,Increase
431,11-Oct-16,0.06640625,11.76,11.79,11.93,"11,727,700","997,949,000",0.14,Increase
432,12-Oct-16,0.12173913,11.78,11.93,11.96,"9,694,640","1,000,220,000",0.03,Increase
433,13-Oct-16,0.344947735,11.91,11.96,11.94,"8,665,190","1,011,190,000",-0.02,Decrease
434,14-Oct-16,0.308016878,11.99,11.94,11.98,"4,333,510","1,018,390,000",0.04,Increase
435,15-Oct-16,0.747311828,11.94,11.98,11.95,"4,991,840","1,014,280,000",-0.03,Decrease
436,16-Oct-16,0.565217391,11.98,11.95,12.01,"3,617,280","1,018,540,000",0.06,Increase
437,17-Oct-16,1.075697211,11.96,12.01,12.59,"5,724,440","1,016,710,000",0.58,Increase
438,18-Oct-16,0.971830986,12,12.59,12.02,"18,864,200","1,020,530,000",-0.57,Decrease
439,19-Oct-16,0.670731707,12.59,12.02,12.1,"10,576,200","1,071,710,000",0.08,Increase
440,20-Oct-16,1.139896373,12.05,12.1,12.18,"8,170,760","1,025,620,000",0.08,Increase
441,21-Oct-16,0.319371728,12.13,12.18,12.07,"5,676,920","1,033,140,000",-0.11,Decrease
442,22-Oct-16,0.666666667,12.18,12.07,12.04,"7,583,820","1,037,850,000",-0.03,Decrease
443,23-Oct-16,0.479768786,12.13,12.04,11.97,"5,774,660","1,033,970,000",-0.07,Decrease
444,24-Oct-16,0.463768116,12.04,11.97,11.41,"5,739,690","1,026,400,000",-0.56,Decrease
445,25-Oct-16,0.515337423,11.97,11.41,11.53,"19,316,000","1,020,850,000",0.12,Increase
446,26-Oct-16,0.560283688,11.38,11.53,11.5,"10,221,800","971,440,000",-0.03,Decrease
447,27-Oct-16,0.663636364,11.53,11.5,11.09,"13,255,400","984,361,000",-0.41,Decrease
448,28-Oct-16,0.25877193,11.47,11.09,10.44,"13,971,500","979,916,000",-0.65,Decrease
449,29-Oct-16,0.461111111,11.1,10.44,11.18,"27,070,400","948,271,000",0.74,Increase
450,30-Oct-16,0.198795181,10.43,11.18,11,"16,694,900","891,164,000",-0.18,Decrease
451,31-Oct-16,0.253658537,11.23,11,10.77,"13,393,900","960,008,000",-0.23,Decrease
452,1-Nov-16,0.222222222,10.96,10.77,10.75,"22,901,300","937,123,000",-0.02,Decrease
453,2-Nov-16,0.201438849,10.77,10.75,10.8,"11,691,700","921,691,000",0.05,Increase
454,3-Nov-16,0.558375635,10.8,10.8,11.09,"15,228,600","924,097,000",0.29,Increase
455,4-Nov-16,0.243243243,10.82,11.09,11,"9,958,040","926,129,000",-0.09,Decrease
456,5-Nov-16,0.350649351,11.09,11,10.87,"5,502,670","950,213,000",-0.13,Decrease
457,6-Nov-16,0.464480874,10.99,10.87,10.81,"5,688,710","941,729,000",-0.06,Decrease
458,7-Nov-16,0.165413534,10.9,10.81,10.83,"5,992,480","934,536,000",0.02,Increase
459,8-Nov-16,0.496688742,10.85,10.83,10.66,"6,258,150","930,345,000",-0.17,Decrease
460,9-Nov-16,0.085526316,10.82,10.66,10.52,"14,606,600","928,063,000",-0.14,Decrease
461,10-Nov-16,0.284023669,10.67,10.52,10.29,"4,253,980","915,940,000",-0.23,Decrease
